ReleaseDate,Movie,Genre,ProductionBudget,DomesticBoxOfficeToDate,Year,NetflixRating,OnNetflix,Awards,Nominations,BestPicture,RottenTomatosCriticScore,RottenTomatosAudienceScore,BigGenre,CalDate
19-Dec,The Guilt Trip,Comedy,40000000,37134215,2012,NetflixRating,0,0,0,38,40,12.612903225806452
19-Dec,Zero Dark Thirty,Drama,52500000,95720716,2012,NetflixRating,1,5,0,93,80,12.612903225806452
21-Dec,Cirque du Soleil: Worlds Away,Drama,25000000,12512862,2012,NetflixRating,0,0,0,47,58,12.67741935483871
21-Dec,The Impossible,Drama,40000000,19019882,2012,NetflixRating,0,0,0,81,85,12.67741935483871
21-Dec,Jack Reacher,Drama,60000000,80070736,2012,NetflixRating,0,0,0,61,67,12.67741935483871
21-Dec,On the Road,Drama,25000000,720828,2012,NetflixRating,0,0,0,44,34,12.67741935483871
25-Dec,Django Unchained,Western,100000000,162805434,2012,NetflixRating,2,5,0,88,92,12.806451612903226
25-Dec,Les Miserables,Musical,65000000,148809770,2012,NetflixRating,3,8,0,70,79,12.806451612903226
25-Dec,Parental Guidance,Comedy,25000000,77267296,2012,NetflixRating,0,0,0,18,60,12.806451612903226
28-Dec,Promised Land,Drama,15000000,7597898,2012,NetflixRating,0,0,0,52,46,12.903225806451612
7-Jan,Season of the Witch,Thriller/Suspense,40000000,24827228,2011,NetflixRating,0,0,0,10,31,1.2258064516129032
14-Jan,The Dilemma,Comedy,70000000,48475290,2011,NetflixRating,0,0,0,24,29,1.4516129032258065
14-Jan,Down for Life,Drama,3800000,41914,2011,NetflixRating,0,0,0,-1,97,1.4516129032258065
14-Jan,The Green Hornet,Action,110000000,98780042,2011,NetflixRating,0,0,0,43,43,1.4516129032258065
21-Jan,No Strings Attached,Romantic Comedy,25000000,70662220,2011,NetflixRating,0,0,0,49,52,1.6774193548387095
28-Jan,The Mechanic,Action,42500000,29121498,2011,NetflixRating,0,0,0,53,52,1.903225806451613
28-Jan,The Rite,Horror,37000000,33047633,2011,NetflixRating,0,0,0,21,41,1.903225806451613
4-Feb,The Roommate,Thriller/Suspense,16000000,37300107,2011,NetflixRating,0,0,0,4,27,2.129032258064516
4-Feb,Sanctum,Adventure,30000000,23209310,2011,NetflixRating,0,0,0,30,38,2.129032258064516
9-Feb,Justin Bieber: Never Say Never,Concert/Performance,13000000,73013910,2011,NetflixRating,0,0,0,64,65,2.2903225806451615
11-Feb,Gnomeo and Juliet,Comedy,36000000,99967670,2011,NetflixRating,0,0,0,55,55,2.3548387096774195
11-Feb,Just Go With It,Romantic Comedy,80000000,103028109,2011,NetflixRating,0,0,0,19,60,2.3548387096774195
18-Feb,Big Mommas: Like Father: Like Son,Comedy,32000000,37915414,2011,NetflixRating,0,0,0,5,58,2.5806451612903225
18-Feb,I am Number Four,Adventure,50000000,55100437,2011,NetflixRating,0,0,0,33,58,2.5806451612903225
18-Feb,Unknown,Thriller/Suspense,40000000,63686397,2011,NetflixRating,0,0,0,38,54,2.5806451612903225
25-Feb,Des Hommes et Des Dieux,Drama,5000000,3954651,2011,NetflixRating,0,0,0,93,76,2.806451612903226
25-Feb,Drive Angry,Action,50000000,10721033,2011,NetflixRating,0,0,0,45,37,2.806451612903226
25-Feb,The Grace Card,Drama,200000,2430735,2011,NetflixRating,0,0,0,35,82,2.806451612903226
25-Feb,Hall Pass,Comedy,36000000,45060734,2011,NetflixRating,0,0,0,34,41,2.806451612903226
4-Mar,The Adjustment Bureau,Thriller/Suspense,50200000,62495645,2011,NetflixRating,0,0,0,72,67,3.129032258064516
4-Mar,Beastly,Drama,17000000,27865571,2011,NetflixRating,0,0,0,21,48,3.129032258064516
4-Mar,Rango,Adventure,135000000,123257581,2011,NetflixRating,1,1,0,88,69,3.129032258064516
5-Mar,Red State,Horror,4000000,1065429,2011,NetflixRating,0,0,0,58,54,3.161290322580645
11-Mar,3 Backyards,Drama,300000,39475,2011,NetflixRating,0,0,0,76,31,3.3548387096774195
11-Mar,Battle: Los Angeles,Action,70000000,83552429,2011,NetflixRating,0,0,0,35,48,3.3548387096774195
11-Mar,Mars Needs Moms,Adventure,150000000,21392758,2011,NetflixRating,0,0,0,37,41,3.3548387096774195
11-Mar,Red Riding Hood,Thriller/Suspense,42000000,37662162,2011,NetflixRating,0,0,0,10,39,3.3548387096774195
18-Mar,Limitless,Thriller/Suspense,27000000,79249455,2011,NetflixRating,0,0,0,70,73,3.5806451612903225
18-Mar,The Lincoln Lawyer,Thriller/Suspense,40000000,58009200,2011,NetflixRating,0,0,0,83,82,3.5806451612903225
18-Mar,Paul,Comedy,40000000,37412945,2011,NetflixRating,0,0,0,71,61,3.5806451612903225
18-Mar,Winter in Wartime,Drama,5800000,542860,2011,NetflixRating,0,0,0,73,78,3.5806451612903225
25-Mar,The 5th Quarter,Drama,6000000,408159,2011,NetflixRating,0,0,0,40,64,3.806451612903226
25-Mar,Diary of a Wimpy Kid: Rodrick Rules,Comedy,18000000,52698535,2011,NetflixRating,0,0,0,48,62,3.806451612903226
25-Mar,Sucker Punch,Action,75000000,36392502,2011,NetflixRating,0,0,0,23,47,3.806451612903226
1-Apr,Haevnen,Drama,5500000,1008098,2011,NetflixRating,0,0,0,NA,NA,4.032258064516129
1-Apr,Hop,Comedy,63000000,108085305,2011,NetflixRating,0,0,0,25,53,4.032258064516129
1-Apr,Insidious,Horror,1500000,54009150,2011,NetflixRating,0,0,0,66,61,4.032258064516129
1-Apr,The Last Godfather,Comedy,13400000,164247,2011,NetflixRating,0,0,0,-1,30,4.032258064516129
1-Apr,Source Code,Thriller/Suspense,32000000,54712227,2011,NetflixRating,0,0,0,92,81,4.032258064516129
