Release Date,Movie,Genre,Production Budget,Domestic Box Office to Date,Trailer,Year
,Dangerous ISHHQ,Thriller/Suspense,,0,,2012
,Dark Shadows,Black Comedy,,79727149,Play,2012
,Dragon Eyes,,,0,,2012
,Girl in Progress,Drama,,2609412,Play,2012
,God Bless America,Black Comedy,,122550,,2012
,Hick,Drama,,0,,2012
,Kiseki,Drama,,145808,,2012
,Et maintenant: on va où?,Drama,,531813,,2012
,Nesting,Comedy,,0,,2012
,Nuit Blanche,Thriller/Suspense,,3358,,2012
,Otter 501,Documentary,,24449,,2012
,Portrait of Wally,Documentary,,0,,2012
,Poupoupidou,Drama,,43040,,2012
,The Road,Horror,,92476,,2012
,Small: Beautifully Moving Parts,Comedy,,8631,,2012
,The Tempest,Concert/Performance,,0,,2012
,Under African Skies,Documentary,,0,,2012
,You Are Here,Drama,,0,,2012
,,,,,,2012
12-May,Sadako 3D,Horror,,0,,2012
,,,,,,2012
15-May,A Buddy Story,Drama,,0,,2012
,Jian hu nu xia Qui Jin,,,0,,2012
,Novecento,,,0,,2012
,,,,,,2012
16-May,The Dictator,Comedy,65000000,59650222,Play,2012
,Elena,Thriller/Suspense,,232070,,2012
,,,,,,2012
17-May,Nae Anaeui Modeun Geot,Romantic Comedy,,0,,2012
,The Odessa File,,,0,,2012
,,,,,,2012
18-May,American Animal,Black Comedy,,0,,2012
,Battleship,Action,209000000,65235400,Play,2012
,Beyond the Black Rainbow,Drama,1100000,56491,,2012
,The Color Wheel,Comedy,,13266,,2012
,Crooked Arrows,Drama,,1832541,,2012
,Department,Action,,0,,2012
,Hysteria,Romantic Comedy,,3337194,,2012
,Indie Game: The Movie,Documentary,,0,,2012
,Lovely Molly,Horror,,0,,2012
,Mansome,Documentary,,18395,,2012
,Never Stand Still,Documentary,,63811,,2012
,Polisse,Thriller/Suspense,,176988,,2012
,Quill: The Life of a Guide Dog,Drama,,15674,,2012
,The Samaritan,Thriller/Suspense,,2521,,2012
,Virginia,Drama,,9915,,2012
,What to Expect When You're Expecting,Romantic Comedy,37500000,41152203,Play,2012
,,,,,,2012
21-May,Phantom of the Opera at the Royal Albert Hall,Concert/Performance,,0,,2012
,,,,,,2012
22-May,Black Cobra,,,0,,2012
,Metal Tornado,,,0,,2012
,Worried About the Boy,,,0,,2012
,,,,,,2012
23-May,Andrew Lloyd Webber's Love Never Dies,Concert/Performance,,0,,2012
,Ashley's Ashes,Drama,,0,,2012
,,,,,,2012
25-May,Chernobyl Diaries,Horror,1000000,18119640,Play,2012
,Cowgirls 'n Angels,Drama,,119782,,2012
,Les Intouchables,Comedy,,13182281,,2012
,Men in Black 3,Adventure,215000000,179020854,Play,2012
,Mighty Fine,Drama,,27900,,2012
,Moonrise Kingdom,Drama,16000000,45512466,Play,2012
,OC87,Documentary,,43583,,2012
,Oslo: 31 August,Drama,,100713,,2012
,Hide Away,Drama,,30655,,2012
,,,,,,2012
26-May,Meerkats,Documentary,,845613,,2012
,,,,,,2012
29-May,3D Mystic Mountains,Documentary,,0,,2012
,Dragon Age: Dawn of the Seeker,Action,,0,,2012
,Memorial Day,,,0,,2012
,Sommaren med Monida,Drama,,0,,2012
,Titanic's Final Mystery,,,0,,2012
,Valley of the Sun,Comedy,,0,,2012
,,,,,,2012
30-May,5 Broken Cameras,Documentary,,109983,,2012
,,,,,,2012
31-May,True Wolf,Documentary,,0,,2012
June: 2012,,,,,,2012
1-Jun,6 Month Rule,Comedy,,14057,,2012
,Battlefield America,Drama,,0,,2012
,Chely Wright: Wish Me Away,Documentary,,18618,,2012
,Chroniques sexuelles d'une famille d'aujourd hui,Drama,,0,,2012
,Emergo,Horror,,256,,2012
,For Greater Glory,Action,,5669081,,2012
,Hamnden,Drama,,10960,,2012
,Hardflip,Drama,,96734,,2012
,High School,Comedy,,231326,,2012
,Historias que so existem quando lembradas,Drama,,0,,2012
,The Loved Ones,Horror,,0,,2012
,Paul Williams Still Alive,Documentary,,38691,,2012
,Pink Ribbons: Inc,Documentary,,26608,,2012
,Piranha 3DD,Horror,,370904,Play,2012
,Rowdy Rathore,Comedy,,777373,,2012
,Snow White and the Huntsman,Adventure,170000000,155136755,Play,2012
,U.N. Me,Documentary,,0,,2012
,,,,,,2012
5-Jun,Bear Nation,Documentary,,0,,2012
,David E. Talbert's A Fool and His Money,Comedy,,0,,2012
,Hatfields & McCoys: Bad Blood,Drama,,0,,2012
,Private Romeo,,,0,,2012
,Q,Drama,,0,,2012
,The Yankles,Comedy,,0,,2012
,Yellow Submarine,Musical,,0,,2012
,,,,,,2012
8-Jun,1 Out Of 7,Drama,,0,,2012
,Bel Ami,Drama,,120462,,2012
,Cartas a Elena,Drama,,8511,,2012
,Corpo celeste,Drama,,0,,2012
,Dark Horse,Drama,,166228,,2012
,Deadly Renovations,Horror,,146146,,2012
