"","ReleaseDate","Movie","Genre","ProductionBudget","DomesticBoxOfficeToDate","Year","NetflixStars","OnNetflix","Awards","Nominations","BestPicture","RottenTomatosCriticsScore","RottenTomatosAudienceScore","BigGenre","Oscar","Blockbuster","CalDate"
"125","25-Feb","Drive Angry","Action",50000000,10721033,2011,NA,"Not on Netflix",0,0,0,45,37,"Action"," Nominated"," Under 100M",2.806451613
"126","25-Feb","The Grace Card","Drama",200000,2430735,2011,NA,"Not on Netflix",0,0,0,35,82,"Drama"," Nominated"," Under 100M",2.806451613
"127","25-Feb","Hall Pass","Comedy",36000000,45060734,2011,NA,"Not on Netflix",0,0,0,34,41,"Comedy"," Nominated"," Under 100M",2.806451613
"128","4-Mar","The Adjustment Bureau","Thriller/Suspense",50200000,62495645,2011,NA,"Not on Netflix",0,0,0,72,67,"Thriller/Suspense"," Nominated"," Under 100M",3.129032258
"129","4-Mar","Beastly","Drama",17000000,27865571,2011,NA,"Not on Netflix",0,0,0,21,48,"Drama"," Nominated"," Under 100M",3.129032258
"130","4-Mar","Rango","Adventure",135000000,123257581,2011,NA,"Not on Netflix",1,1,0,88,69,"Adventure"," Not Nominated"," Over 100M",3.129032258
"131","5-Mar","Red State","Horror",4000000,1065429,2011,3.4,"On Netflix",0,0,0,58,54,"Horror"," Nominated"," Under 100M",3.161290323
"132","11-Mar","3 Backyards","Drama",300000,39475,2011,2.5,"On Netflix",0,0,0,76,31,"Drama"," Nominated"," Under 100M",3.35483871
"133","11-Mar","Battle: Los Angeles","Action",70000000,83552429,2011,NA,"Not on Netflix",0,0,0,35,48,"Action"," Nominated"," Under 100M",3.35483871
"134","11-Mar","Mars Needs Moms","Adventure",150000000,21392758,2011,NA,"Not on Netflix",0,0,0,37,41,"Adventure"," Nominated"," Under 100M",3.35483871
"135","11-Mar","Red Riding Hood","Thriller/Suspense",42000000,37662162,2011,NA,"Not on Netflix",0,0,0,10,39,"Thriller/Suspense"," Nominated"," Under 100M",3.35483871
"136","18-Mar","Limitless","Thriller/Suspense",27000000,79249455,2011,NA,"Not on Netflix",0,0,0,70,73,"Thriller/Suspense"," Nominated"," Under 100M",3.580645161
"137","18-Mar","The Lincoln Lawyer","Thriller/Suspense",40000000,58009200,2011,NA,"Not on Netflix",0,0,0,83,82,"Thriller/Suspense"," Nominated"," Under 100M",3.580645161
"138","18-Mar","Paul","Comedy",40000000,37412945,2011,NA,"Not on Netflix",0,0,0,71,61,"Comedy"," Nominated"," Under 100M",3.580645161
"139","18-Mar","Winter in Wartime","Drama",5800000,542860,2011,NA,"Not on Netflix",0,0,0,73,78,"Drama"," Nominated"," Under 100M",3.580645161
"140","25-Mar","The 5th Quarter","Drama",6000000,408159,2011,4,"On Netflix",0,0,0,40,64,"Drama"," Nominated"," Under 100M",3.806451613
"141","25-Mar","Diary of a Wimpy Kid: Rodrick Rules","Comedy",18000000,52698535,2011,NA,"Not on Netflix",0,0,0,48,62,"Comedy"," Nominated"," Under 100M",3.806451613
"142","25-Mar","Sucker Punch","Action",75000000,36392502,2011,NA,"Not on Netflix",0,0,0,23,47,"Action"," Nominated"," Under 100M",3.806451613
"143","1-Apr","Haevnen","Drama",5500000,1008098,2011,NA,"Not on Netflix",0,0,0,NA,NA,"Drama"," Nominated"," Under 100M",4.032258065
"144","1-Apr","Hop","Comedy",63000000,108085305,2011,NA,"Not on Netflix",0,0,0,25,53,"Comedy"," Nominated"," Over 100M",4.032258065
"145","1-Apr","Insidious","Horror",1500000,54009150,2011,NA,"Not on Netflix",0,0,0,66,61,"Horror"," Nominated"," Under 100M",4.032258065
"146","1-Apr","The Last Godfather","Comedy",13400000,164247,2011,NA,"Not on Netflix",0,0,0,-1,30,"Comedy"," Nominated"," Under 100M",4.032258065
"147","1-Apr","Source Code","Thriller/Suspense",32000000,54712227,2011,NA,"Not on Netflix",0,0,0,92,81,"Thriller/Suspense"," Nominated"," Under 100M",4.032258065
"148","1-Apr","Trust","Drama",4000000,120016,2011,NA,"Not on Netflix",0,0,0,78,65,"Drama"," Nominated"," Under 100M",4.032258065
"149","8-Apr","Hanna","Drama",30000000,40259119,2011,NA,"Not on Netflix",0,0,0,72,66,"Drama"," Nominated"," Under 100M",4.258064516
"150","8-Apr","Meek's Cutoff","Drama",2000000,977772,2011,NA,"Not on Netflix",0,0,0,85,54,"Drama"," Nominated"," Under 100M",4.258064516
"151","8-Apr","Soul Surfer","Drama",18000000,43853424,2011,NA,"Not on Netflix",0,0,0,46,77,"Drama"," Nominated"," Under 100M",4.258064516
"152","15-Apr","The Conspirator","Drama",25000000,11538204,2011,NA,"Not on Netflix",0,0,0,55,62,"Drama"," Nominated"," Under 100M",4.483870968
"153","15-Apr","Rio","Adventure",90000000,143619809,2011,NA,"Not on Netflix",0,0,0,72,71,"Adventure"," Nominated"," Over 100M",4.483870968
"154","29-Apr","Dylan Dog: Dead of Night","Horror",20000000,1186538,2011,3.4,"On Netflix",0,0,0,8,29,"Horror"," Nominated"," Under 100M",4.935483871
"155","29-Apr","Fast Five","Action",125000000,209837675,2011,NA,"Not on Netflix",0,0,0,77,82,"Action"," Nominated"," Over 100M",4.935483871
"156","29-Apr","Hoodwinked Too: Hood vs. Evil","Adventure",30000000,10143779,2011,NA,"Not on Netflix",0,0,0,11,36,"Adventure"," Nominated"," Under 100M",4.935483871
"157","29-Apr","Prom","Comedy",8000000,10130219,2011,NA,"Not on Netflix",0,0,0,36,40,"Comedy"," Nominated"," Under 100M",4.935483871
"158","6-May","The Beaver","Comedy",21000000,970816,2011,NA,"Not on Netflix",0,0,0,60,56,"Comedy"," Nominated"," Under 100M",5.193548387
"159","6-May","Hobo with a Shotgun","Action",3000000,703372,2011,3.3,"On Netflix",0,0,0,66,58,"Action"," Nominated"," Under 100M",5.193548387
"160","6-May","Jumping the Broom","Romantic Comedy",7000000,37295394,2011,NA,"Not on Netflix",0,0,0,56,59,"Comedy"," Nominated"," Under 100M",5.193548387
"161","6-May","Something Borrowed","Romantic Comedy",35000000,39046489,2011,NA,"Not on Netflix",0,0,0,15,48,"Comedy"," Nominated"," Under 100M",5.193548387
"162","6-May","There Be Dragons","Drama",36000000,1069334,2011,NA,"Not on Netflix",0,0,0,11,55,"Drama"," Nominated"," Under 100M",5.193548387
"163","6-May","Thor","Action",150000000,181030624,2011,NA,"Not on Netflix",0,0,0,77,76,"Action"," Nominated"," Over 100M",5.193548387
"164","11-May","Nanjing! Nanjing!","Drama",12000000,122558,2011,NA,"Not on Netflix",0,0,0,41,74,"Drama"," Nominated"," Under 100M",5.35483871
"165","13-May","Bridesmaids","Comedy",32500000,169106725,2011,NA,"Not on Netflix",0,0,0,90,76,"Comedy"," Nominated"," Over 100M",5.419354839
"166","13-May","Everything Must Go","Drama",5000000,2712131,2011,NA,"Not on Netflix",0,0,0,75,53,"Drama"," Nominated"," Under 100M",5.419354839
"167","13-May","Hesher","Drama",7000000,382946,2011,NA,"Not on Netflix",0,0,0,54,61,"Drama"," Nominated"," Under 100M",5.419354839
"168","13-May","Priest","Horror",60000000,29136626,2011,3.4,"On Netflix",0,0,0,16,46,"Horror"," Nominated"," Under 100M",5.419354839
